"ລາຍວິຊາຮຽນ 2023-2024","","","","","","","","","","","","",""
"119","204SA121","ການວິເຄາະ ແລະ ອອກແບບລະບົບ","3(2-2-5)","BSCCCS","1","2","12","2023-2024","3","3","","",""
"107","204CR221","ການສ້າງລາຍງານດ້ວຍ Crystal Report","3(2-2-5)","BSCCCS","2","1","12","2023-2024","3","3","17","27",""
"108","204DA221","ການຄຸູ້ມຄອງຖານຂໍ້ມູນ","3(2-2-5)","BSCCCS","2","1","12","2023-2024","3","3","","",""
"109","204RC221","ວິທີການຄົ້ນຄວ້າ","2(2-0-4)","BSCCCS","2","1","12","2023-2024","2","2","","",""
"110","204SC211","ສໍາມະນາ","1(0-2-0)","BSCCCS","2","1","12","2023-2024","1","1","","",""
"111","204SE221","ວິສະວະກໍາຊອບແວ","2(2-0-4)","BSCCCS","2","1","12","2023-2024","2","2","","",""
"112","204WP221","Web Programming","3(2-2-5)","BSCCCS","2","1","12","2023-2024","3","3","","",""
"113","204WS221","Web Server and Technology","3(2-2-5)","BSCCCS","2","1","12","2023-2024","3","3","","",""
"120","204AI211","ປັນຍາປະດິດ","2(2-0-4)","BSCCCS","2","2","12","2023-2024","2","2","10","",""
"121","204CS211","ຄວາມປອດໄພ ແລະ ຈັນຍາບັນການນາໃຊ້ຄອມພິວເຕີ","2(2-0-4)","BSCCCS","2","2","12","2023-2024","2","2","","",""
"122","204FP221","ໂຄງການຈົບຊັ້ນ","4(0-0-20)","BSCCCS","2","2","12","2023-2024","4","4","","",""
"123","204LN231","ການຄ້າດ້ວຍເອເລັກໂທນິກ","2(2-0-4)","BSCCCS","2","2","13","2023-2024","2","2","","",""
"124","115LS101","ລາວສຶກສາ1","2(2-0-4)","BSCCH","1","1","1","2023-2024","2","2","19","39",""
"125","145PY101","ຈິດຕະວິທະຍາ​ທົ່ວ​ໄປ","2(2-0-4)","BSCCH","1","1","1","2023-2024","2","2","","",""
"126","205CA111","​ແຄລຄູ​ລັດສ໌ 1","3(2-2-5)","BSCCH","1","1","2","2023-2024","3","3","","",""
"127","205CH111","ເຄມີສາດ 1","3(3-0-6)","BSCCH","1","1","2","2023-2024","3","3","","",""
"128","205CL111","ທົດລອງເຄມີສາດ 1","1(0-3-1)","BSCCH","1","1","2","2023-2024","1","1","","",""
"129","205ES101","ພາສາອັງກິດສໍາລັບວິທະຍາສາດ 1","2(0-4-2)","BSCCH","1","1","2","2023-2024","2","2","","",""
"130","205PH111","ຟີ​ຊິກ​ສາດ1","3(2-2-5)","BSCCH","1","1","2","2023-2024","3","3","","",""
"131","205PL111","ທົດລອງຟີຊິກສາດ 1","1(0-2-1)","BSCCH","1","1","2","2023-2024","1","1","","",""
"132","205SC111","ຄວາມ​ປອດ​ໄພ​ທາງ​ເຄມີ","2(2-0-4)","BSCCH","1","1","2","2023-2024","2","2","","",""
"159","135LS102","ລາວ​ສຶກສາ2","2(2-0-4)","BSCCH","1","2","1","2023-2024","2","2","20","",""
"160","205CF111","ຄອມພີວເຕີພື້ນຖານ","3(2-2-5)","BSCCH","1","2","2","2023-2024","3","3","","",""
"161","205CH112","​ເຄມີ​ສາດ2","3(3-0-6)","BSCCH","1","2","2","2023-2024","3","3","","",""
"162","205CL112","ທົດ​ລອງ​ເຄມີ​ສາດ2","1(0-2-1)","BSCCH","1","2","2","2023-2024","1","1","","",""
"163","205ES102","ພາສາອັງກິດສໍາລັບວິທະຍາສາດ2","2(0-4-2)","BSCCH","1","2","2","2023-2024","2","2","","",""
"164","205EV221","ເຄມີສິ່ງແວດລ້ອມ","2(2-0-4)","BSCCH","1","2","2","2023-2024","2","2","","",""
"165","205FS111","ສະຖິຕິ​ພື້ນຖານ","3(2-2-5)","BSCCH","1","2","2","2023-2024","3","3","","",""
"166","205PH112","ຟີ​ຊິກ​ສາດ2","3(3-0-6)","BSCCH","1","2","2","2023-2024","3","3","","",""
"167","205PL112","ທົດ​ລອງ​ຟີ​ຊິກ​ສາດ2","1(0-2-1)","BSCCH","1","2","2","2023-2024","1","1","","",""
"133","205EL211","ພາສາອັງກິດສຳລັບເຄມີສາດ 1","2(0-4-2)","BSCCH","2","1","2","2023-2024","2","2","18","38",""
"134","205IE321","ເຄມີອຸດສາຫະກຳແລະສະພາບແວດລ້ອມ","2(2-0-4)","BSCCH","2","1","12","2023-2024","2","2","","",""
"135","205IL211","ທົດ​ລອງ​ເຄມີອະນົງຄະທາດ1","1(0-2-1)","BSCCH","2","1","12","2023-2024","1","1","","",""
"136","205IN211","ເຄມີອະນົງຄະທາດ1","3(3-0-6)","BSCCH","2","1","12","2023-2024","3","3","","",""
"137","205OL221","ທົດລອງເຄມີອົງຄະທາດ 1","1(0-2-1)","BSCCH","2","1","2","2023-2024","1","1","","",""
"138","205OR221x","ເຄມີອົງຄະທາດ 1","3(3-0-6)","BSCCH","2","1","2","2023-2024","3","3","","",""
"139","205PH211","ເຄມີຟິຊິກ 1","3(3-0-6)","BSCCH","2","1","2","2023-2024","3","3","","",""
"140","205PL211","ທົດລອງເຄມີຟິຊິກ 1","1(0-2-1)","BSCCH","2","1","2","2023-2024","1","1","","",""
"141","205SF221","ເຄມີດິນ ແລະ ປຸ໋ຍ","2(2-0-4)","BSCCH","2","1","12","2023-2024","2","2","","",""
"168","015ND201","ສຶກສາປ້ອງກັນຕົວ(ບໍ່ໄດ້ຈ່າຍຄ່າໜ່ວຍກິດ)","3(0-2-7)  ","BSCCH","2","2","1","2023-2024","3","3","20","",""
"169","205BC221","ຊີວະເຄມີ 1","3(2-2-5)","BSCCH","2","2","2","2023-2024","3","3","","",""
"170","205EL212","ພາສາອັງກິດສຳລັບເຄມີສາດ​ 2","2(0-4-2)","BSCCH","2","2","2","2023-2024","2","2","","",""
"171","205IL222","ທົດລອງເຄມີອະນົງຄະທາດ 2","1(0-3-1)","BSCCH","2","2","12","2023-2024","1","1","","",""
"172","205IN222","ເຄ​ມີີອະ​ນົງ​ຄະ​ທາດ 2","3(3-0-6)","BSCCH","2","2","12","2023-2024","3","3","","",""
"173","205OL222","ທົດລອງເຄມີອົງຄະທາດ 2","1(0-3-1)","BSCCH","2","2","12","2023-2024","1","1","","",""
"174","205OR222","ເຄມີອົງຄະທາດ 2","3(3-0-6)","BSCCH","2","2","12","2023-2024","3","3","","",""
"175","205PH222x","ເຄມີຟິຊິກ 2","3(3-0-6)","BSCCH","2","2","12","2023-2024","3","3","","",""
"176","205PL222","ທົດລອງເຄມີຟິຊິກ 2","1(0-3-1)","BSCCH","2","2","12","2023-2024","1","1","","",""
"142","205AL321","ທົດລອງເຄມີວິເຄາະ 1","1(0-2-1)","BSCCH","3","1","12","2023-2024","1","1","17","35",""
